CustomerID,Name,Region,JoinDate,OpenInvoices_num,RetentionCategory_Cat
1000,Robert Gomez,West,2024-02-25,8,Recovered
1001,John Silva,East,2020-12-01,0,Recovered
1002,Mark Marshall,Central,2020-08-08,6,New
1003,David Brennan,North,2020-05-21,2,Recovered
1004,Kerry Collins,North,2023-09-12,4,Recovered
1005,Jessica Mora,South,2021-08-05,3,AtRisk
1006,Hannah Ray,West,2021-07-03,8,Recovered
1007,David Kim,West,2020-05-20,3,AtRisk
1008,William Ramirez,EAST,2023-09-15,0,AtRisk
1009,Zachary Bell Jr.,East,2023-04-20,0,Recovered
1010,Mike Davis,East,2022-03-23,3,AtRisk
1011,Amanda Myers,West,2021-09-05,0,New
1012,Tara Miller,North,2020-08-10,6,Loyal
1013,Alyssa Morgan,North,2022-07-22,7,AtRisk
1014,Cindy Woods,East,2024-04-02,0,New
1015,Jennifer Rodgers,North,2023-02-12,4,Loyal
1016,Andrea Roberts,EAST,2021-05-16,0,Loyal
1017,Brittney Burnett,North,2020-07-03,4,Recovered
1018,Edwin Garrison,south-west,2020-08-31,1,New
1019,Michelle Torres,Central,2020-11-18,4,New
1020,Michelle Brewer,East,2021-07-14,1,Recovered
1021,Aaron Burnett,South,2024-02-13,5,Loyal
1022,Austin Gutierrez,EAST,2021-11-25,2,Recovered
1023,Dustin Medina,east,2021-06-14,0,AtRisk
1024,Andres Avila,Central,2022-09-19,0,AtRisk
1025,Garrett Lewis,South,2023-08-04,5,AtRisk
1026,Gary Walls,North,2023-10-05,6,AtRisk
1027,Anthony Schroeder,east,2020-10-04,5,AtRisk
1028,Haley Wagner,West,2023-11-03,1,AtRisk
1029,Gina Powers,West,2022-10-26,1,New
1030,Alice Robinson,EAST,2021-08-06,5,AtRisk
1031,Jessica Frazier,West,2021-10-20,5,Loyal
1032,Terri Long,east,2022-10-23,4,Recovered
1033,Paul Perkins,east,2022-03-16,7,Recovered
1034,Heather Smith,Central,2022-09-16,1,Loyal
1035,Lorraine Rodriguez,East,2022-09-26,6,Recovered
1036,Robert Bishop,south-west,2020-09-14,1,AtRisk
1037,Lisa Sanders,West,2020-06-03,8,New
1038,Jason Ford,EAST,2023-10-09,8,New
1039,Brandy Good,West,2023-05-21,0,New
1040,Angel Lee,Central,2022-04-08,2,Loyal
1041,David Beltran,east,2021-01-18,8,Loyal
1042,Christopher Dodson,North,2023-10-30,5,New
1043,Eric Pena,West,2022-06-30,2,Recovered
1044,Anita Huerta,East,2022-04-08,1,AtRisk
